domain,topic,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Java,Exceptions,"What will it print? String[] names = new String[2]; System.out.println(names[0].length());",0,null,Compilation Error,NullPointerException,D,"names[0] is null, so calling length() throws NPE"
Java,Exceptions,"What will it print? int[] nums = new int[5]; nums[10] = 3;",Caught: java.lang.Exception,Caught: java.lang.ArrayIndexOutOfBoundsException,Compilation Error,Runtime Error,B,"Index 10 is out of bounds; exception caught"
Java,Exceptions,"What will it print? int x = Integer.parseInt(""abc"");",Invalid format,abc,Compilation Error,Runtime Error,A,"'abc' cannot be parsed as integer; throws NumberFormatException"
Java,Loops,"What will it print? String[] vals = {""one"", ""two"", ""three""}; for(String s : vals) System.out.print(s + "" "");",one two three,three two one,Compilation Error,Runtime Error,A,"Enhanced for-loop prints in order"
Java,Arrays,"What will it print? int[][] grid = new int[1][2]; System.out.println(grid.length + "" "" + grid[0].length);",1 2,2 1,Compilation Error,1 0,A,"grid[0].length = 2; grid.length = 1"
Java,Exceptions,"What will happen? int[] arr = new int[-2];",Length: -2,Compilation Error,NegativeArraySizeException,0,C,"Negative array size throws runtime exception"
Java,Exceptions,"What will it print? int x = 10 / 0;",Divide by zero!,0,Compilation Error,Runtime Exception,A,"Divide by zero throws ArithmeticException, caught and printed"
Java,Exceptions,"What will it print? int[] data = {10, 20, 30}; for(int i = 0; i <= data.length; i++) System.out.print(data[i] + "" "");",10 20 30,10 20 30 0,Compilation Error,ArrayIndexOutOfBoundsException,D,"i <= data.length leads to out-of-bounds"
Java,Arrays,"What will it print? String[][] text = new String[2][]; text[0] = new String[]{""A"", ""B""}; text[1] = new String[]{""C""}; System.out.println(text[1][0]);",A,B,C,null,C,"text[1][0] is ""C"""
Java,Arrays,"What will it print? int[] nums = new int[0]; System.out.println(nums.length);",0,1,Compilation Error,Exception,A,"Zero-length array is legal; prints 0"
Java,Exceptions,"What will it print? String[] list = null; System.out.println(list[0]);",null,Caught NPE,Compilation Error,Runtime Error,B,"Accessing list[0] on null array throws NullPointerException"
Java,Exceptions,"What will it print? throw new IllegalArgumentException(""Bad input"");",Bad input,Caught: Bad input,Compilation Error,IllegalArgumentException,B,"Exception caught and printed"
Java,Arrays,"What will it print? int[] values = {1, 2, 3, 4}; for (int i = values.length - 1; i >= 0; i--) System.out.print(values[i] + "" "");",4 3 2 1,1 2 3 4,Compilation Error,Runtime Error,A,"Reverse order printing with for-loop"
Java,Exceptions,"What will it print? Integer.parseInt(""10.5"");",Format error,10.5,Compilation Error,Runtime Error,A,"10.5 is not valid integer → NumberFormatException"
Java,Exceptions,"What will it print? Object[] obj = new String[2]; obj[0] = 10;",Done,Compilation Error,ArrayStoreException,null,C,"Storing Integer in String[] throws ArrayStoreException"
Java,Exceptions,"What will it print? String[] arr = {""one"", ""two"", ""three""}; System.out.println(arr[arr.length]);",three,Compilation Error,IndexOutOfBoundsException,Runtime Error,C,"Index arr.length is out of bounds"
Java,Exceptions,"What will it print? throw new Exception(""Boom"");",Caught runtime,Boom,Caught exception,Compilation Error,C,"Exception caught in second catch block"
Java,Pitfalls,"What will it print? if (i = 5) { }",Equal,Nothing,Compilation Error,Runtime Error,C,"Can't assign inside condition directly"
Java,Pitfalls,"What will it print? int x; System.out.println(x);",0,Compilation Error,Runtime Exception,null,B,"Local variable 'x' not initialized"
Java,Pitfalls,"What will it print? byte b = 10; b = b + 1;",11,Compilation Error,10,Runtime Error,B,"b + 1 = int → must cast to byte"
Java,Pitfalls,"What will it print? long x = 10_000;",10000,Compilation Error,10_000,10,000,A,"Underscores allowed for readability"
Java,Pitfalls,"What will it print? String s1 = ""Hello""; String s2 = new String(""Hello""); System.out.println(s1 == s2);",true,false,Compilation Error,Runtime Error,B,"== compares references, not values"
Java,Pitfalls,"What will it print? System.out.println(""1"" + 2 + 3);",123,6,33,15,A,"Left-to-right string concatenation"
Java,Pitfalls,"What will it print? char c = 65; System.out.println(c);",A,65,Compilation Error,null,A,"65 is ASCII for 'A'"
Java,Pitfalls,"What will it print? double d = 5 / 2; System.out.println(d);",2.0,2.5,Compilation Error,Runtime Exception,A,"5/2 is integer division first → 2 → then widened"
Java,Pitfalls,"What will it print? System.out.println(10 + 20 + ""30"");",30,1030,3030,3030.0,B,"10+20=30, then string concat"
Java,Pitfalls,"What will it print? int[] arr = new int[]{1, 2, 3}; System.out.println(arr.length());",3,Compilation Error,Runtime Error,0,B,"Array has 'length' field, not method"
Java,Pitfalls,"What will it print? Object o = new int[]{1, 2, 3}; System.out.println(o instanceof Object);",true,false,Compilation Error,Runtime Exception,A,"Arrays are objects"
Java,Pitfalls,"What will it print? int a = 5; a += 3.5;",8,8.5,Compilation Error,Runtime Error,C,"+= with double → implicit cast not allowed without loss"
Java,Pitfalls,"What will it print? static int x = 10; int x = 20; System.out.println(x);",10,20,Compilation Error,Runtime Error,B,"Local variable shadows class variable"
Java,Pitfalls,"What will it print? int[] a = new int[3]; System.out.println(a[3]);",0,3,Compilation Error,ArrayIndexOutOfBoundsException,D,"Index 3 out of bounds"
Java,Pitfalls,"What will it print? final int x = 100; byte b = x; System.out.println(b);",100,Compilation Error,0,Runtime Error,A,"final constant in byte range can be implicitly cast"
Java,Pitfalls,"What will it print? short s = 10; s = s * 5;",50,Compilation Error,Runtime Error,10,B,"s * 5 promotes to int → must cast to short"
Java,Pitfalls,"What will it print? true ? ""yes"" : 10;",yes,10,Compilation Error,Runtime Error,C,"Incompatible types between true/false branches"
Java,Pitfalls,"What will it print? for (System.out.print(""A""); i < 1; i++) System.out.print(""B""); System.out.print(""C"");",ABC,BAC,ACB,Compilation Error,A,"'A' prints first from loop init, then loop body → 'B', then 'C'"
Java,Pitfalls,"What will it print? switch(x) { case 5: print(""Five""); default: print(""Default""); }",Five,Default,Five Default,Compilation Error,C,"No break → fall-through occurs"
Java,Pitfalls,"What will it print? String str = ""null""; System.out.println(str == null);",true,false,null,Compilation Error,B,"""null"" is a string literal, not null"
