166,Using Loop Constructs,For Loops,"What will the following code print?
```java
public class Q25 {
    public static void main(String[] args) {
        for(int i = 1; i <= 3; i++) {
            System.out.print(i + "" "");
        }
    }
}
```",1 2 3,3 2 1,1 2 3 4,Compilation Error,,A,"The loop prints i from 1 to 3: ""1 2 3 "".",2025-06-20 19:33:21
167,Creating and Using Arrays,Arrays,"What will the following code print?
```java
public class Q28 {
    public static void main(String[] args) {
        int[] arr = {0, 1, 2, 3};
        System.out.println(arr[2]);
    }
}
```",2,1,3,0,,A,"Array indexing starts at 0, so arr[2] accesses the third element, which is 2.",2025-06-20 19:33:21
168,Using Operators and Decision Constructs,Operators,"What will the following code print?
```java
public class Q29 {
    public static void main(String[] args) {
        int a = 8;
        int b = 8;
        System.out.println(a + b);
    }
}
```",16,13,10,8,,A,The code adds 8 + 8 = 16 and prints the result.,2025-06-20 19:33:21
169,Working with Java Data Types,Variable Declaration and Initialization,"What will the following code print?
```java
public class Q30 {
    public static void main(String[] args) {
        int[] arr = new int[3];
        System.out.println(arr[0]);
    }
}
```",0,null,Compilation Error,Exception,,A,Arrays of primitive int are initialized with default value 0.,2025-06-20 19:33:21
170,Using Loop Constructs,For Loops,"What will the following code print?
```java
public class Q32 {
    public static void main(String[] args) {
        for(int i = 0; i < 3; i++) {
            System.out.print(i + "" "");
        }
    }
}
```",0 1 2,0 1 2 3,1 2 3,Infinite loop,,A,"The loop prints i from 0 to 2: ""0 1 2 "".",2025-06-20 19:33:21
171,Using Operators and Decision Constructs,Comparison Operators,"What will the following code print?
```java
public class Q27 {
    public static void main(String[] args) {
        String a = new String(""hello"");
        String b = new String(""hello"");
        System.out.println(a == b);
    }
}
```",true,false,Compilation Error,NullPointerException,,B,"The == operator compares references, not content.
Since a and b are different objects, the result is false.",2025-06-20 19:33:21
172,Working with Selected classes from the Java API,String Class,"What will the following code print?
```java
public class Q34 {
    public static void main(String[] args) {
        String s = ""Java"";
        System.out.println(s.charAt(2));
    }
}
```",v,a,J,Compilation Error,,A,"String indexing starts at 0. charAt(2) returns the character at index 2, which is 'v'.",2025-06-20 19:33:21
173,Working with Java Data Types,Variable Declaration and Initialization,"What will the following code print?
```java
public class Q35 {
    public static void main(String[] args) {
        int x = 10;
        int y = 20;
        System.out.println(y);
    }
}
```",10,20,0,Compilation Error,,B,"The code simply prints the value of variable y, which is 20.",2025-06-20 19:33:21
174,Using Operators and Decision Constructs,If-Else Statement,"What will the following code print?
```java
public class Q36 {
    public static void main(String[] args) {
        int x = 5;
        if(x > 10) {
            System.out.println(""Greater"");
        } else if(x < 3) {
            System.out.println(""Smaller"");  
        }
    }
}
```",Greater,Smaller,Nothing,Runtime Exception,,C,"Since x=5 is not > 10 and not < 3, neither condition is true, so nothing is printed.",2025-06-20 19:33:21
175,Working with Java Data Types,Variable Declaration and Initialization,"Which one is not a Java keyword?",static,Integer,void,if,,B,"'Integer' is a class name, not a keyword.",,single
Keywords are reserved words like static, void, and if.",2025-06-20 19:33:21
176,Working with Selected classes from the Java API,String Class,"What will the following code print?
```java
public class Q31 {
    public static void main(String[] args) {
        String s = ""ABC"";
        s.toLowerCase();
        System.out.println(s);
    }
}
```",abc,ABC,Compilation Error,NullPointerException,,B,"Strings are immutable.
The toLowerCase() method returns a new string but doesn't modify the original string s.",2025-06-20 19:33:21
177,Working with Selected classes from the Java API,String Class,"Which method is used to get the length of a string in Java?",length(),size(),getSize(),count(),,A,"The length() method returns the number of characters in a String object.",2025-06-20 19:33:21,single
178,Working with Selected classes from the Java API,String Class,"What will the following code print?
```java
public class Q33 {
    public static void main(String[] args) {
        String s1 = ""hello"";
        String s2 = ""hello"";
        System.out.println(s1.equals(s2));
    }
}
```",true,false,Compilation Error,Exception,,A,"The equals() method compares the content of strings, both contain ""hello"", so the result is true.",2025-06-20 19:33:21
179,Using Operators and Decision Constructs,Logical Operators,"Which operator is used to perform a short-circuit AND?",&,|,&&,||,,C,"The && operator performs short-circuit AND evaluation, meaning if the first operand is false, the second operand is not evaluated.",2025-06-20 19:33:21,single
180,Working with Java Data Types,Variable Casting and Conversions,"What will the following code print?
```java
public class Q38 {
    public static void main(String[] args) {
        String s1 = ""10"";
        String s2 = ""30"";
        System.out.println(s1 + s2);
    }
}
```",40,1030,3010,4030,,B,"String concatenation occurs, not arithmetic addition, resulting in ""1030"".",2025-06-20 19:33:21
181,Working with Java Data Types,Variable Casting and Conversions,"What will the following code print?
```java
public class Q37 {
    public static void main(String[] args) {
        int i = 128;
        byte b = (byte) i;
        System.out.println(b);
    }
}
```",127,128,-128,Compilation Error,,C,"byte range is -128 to 127.
Value 128 overflows and wraps around to -128.",2025-06-20 19:33:21
182,Working with Selected Classes from Java API,String Class,"What is the output of: 
```java
String s = ""Hello"";
s.concat("" World""); 
System.out.println(s);
```",Hello,Hello World,World,Compilation Error,,A,String is immutable; concat does not modify original,2025-06-20 19:33:38
183,Working with Methods and Encapsulation,Access Modifiers,"Which access specifier allows access only within the same class?",private,public,protected,default,,A,"private restricts access to the same class",2025-06-20 19:33:38,single
184,Handling Exceptions,Exception Handling,"Which exception is thrown when dividing by zero?",NullPointerException,ArithmeticException,IllegalArgumentException,NumberFormatException,,B,"`ArithmeticException` for integer division by zero",2025-06-20 19:33:38,single
185,Working with Java Data Types,Primitive Data Types,"What is the size of a `char` in Java?",4 bytes,2 bytes,1 byte,Depends on JVM,,B,"Java chars are 16-bit (2 bytes)",2025-06-20 19:33:38,single
186,Using Operators and Decision Constructs,Switch Statement,"Which of the following is not allowed in a `switch` statement?",int,String,boolean,char,,C,"boolean is not supported in switch",2025-06-20 19:33:38,single
187,Advanced Java Features,Threads,"Which interface must be implemented to create a thread?",Runnable,Thread,Callable,Executor,,A,"Runnable is the standard way to implement a thread",2025-06-20 19:33:38,single
188,Using Operators and Decision Constructs,Operators,"What will it print? 
```java
int x = 10; 
System.out.println(x++ + ++x);
```",21,22,20,19,,B,"x++ is 10, ++x is 12 → 10+12 = 22",2025-06-20 19:33:38
189,Working with Java Data Types,Primitive Data Types,"What is the default value of a `boolean` variable in a class?",true,false,0,null,,B,"Class-level booleans default to false",2025-06-20 19:33:38,single
190,Java Basics,Simple Execution of Java Program,"What is the return type of the `main()` method?",void,int,String,Object,,A,"main method must return void",2025-06-20 19:33:38,single
191,Using Operators and Decision Constructs,Ternary Operator,"What will it print? 
```java
int x = 5; 
System.out.println((x > 2) ? (x < 4) ? 10 : 8 : 7);
```",10,8,7,Compilation Error,,B,x > 2 is true → x < 4 is false → result is 8,2025-06-20 19:33:38
192,Using Operators and Decision Constructs,Operators,"What is the output of the following code? 
```java
int x = 5; 
int y = ++x * 2; 
System.out.println(y);
```",10,11,12,13,,C,++x increments x to 6 before multiplication; 6*2 = 12,2025-06-20 19:33:38
193,Using Operators and Decision Constructs,Logical Operators,"What will it print? 
```java
boolean b = false; 
if (b = true) System.out.println(""True"");
```",True,False,Compilation Error,Runtime Exception,,A,Assignment inside if evaluates to true,2025-06-20 19:33:38
194,Using Operators and Decision Constructs,Operators,"What is printed? 
```java
int i = 10; 
int j = 5; 
int result = i++ + ++j; 
System.out.println(result);
```",15,16,17,18,,B,"i++ is 10, ++j is 6 → result = 10 + 6 = 16",2025-06-20 19:33:38
195,Creating and Using Arrays,Arrays,"What will it print? 
```java
int[] arr = {1, 2, 3}; 
for(int i = 0; i < arr.length; i++) { 
  System.out.print(arr[i] + "" ""); 
}
```",1 2 3,3 2 1,1 2 3 4,Compilation Error,,A,Basic for loop over array prints 1 2 3,2025-06-20 19:33:38
196,Using Operators and Decision Constructs,Operators,"What will it print? 
```java
int x = 2; 
int y = 5; 
x *= y + 3; 
System.out.println(x);
```",16,13,10,8,,A,x *= y + 3 → x = x * (y+3) = 2*8 = 16,2025-06-20 19:33:38
197,Working with Selected Classes from Java API,String Class,"What will it print?
```java
String s1 = new String(""OCA""); 
String s2 = ""OCA""; 
System.out.println(s1 == s2);
```",true,false,Compilation Error,NullPointerException,,B,new String() creates new object,2025-06-20 19:33:38
198,Working with Selected Classes from Java API,String Class,"What will it print?
```java
String str = ""abc""; 
str.toUpperCase(); 
System.out.println(str);
```",abc,ABC,Compilation Error,NullPointerException,,A,String is immutable; str remains unchanged,2025-06-20 19:33:38
199,Using Operators and Decision Constructs,Operators,"What will it print? 
```java
int x = 7; 
int y = 3; 
System.out.println(x % y);
```",2,1,3,0,,B,7 % 3 = 1,2025-06-20 19:33:38
200,Working with Selected Classes from Java API,String Class,"What will it print?
```java
String s1 = ""java""; 
String s2 = ""java""; 
System.out.println(s1 == s2);
```",true,false,Compilation Error,Runtime Exception,,A,String literals are interned → same reference,2025-06-20 19:33:38
201,Using Operators and Decision Constructs,Logical Operators,"What will it print? 
```java
int x = 5; 
int y = 10; 
System.out.println(x > 2 && y < 15);
```",true,false,Compilation Error,Exception,,A,Both conditions are true,2025-06-20 19:33:38
202,Using Operators and Decision Constructs,If-Else Statement,"What will it print? 
```java
int x = 0; 
if(x) { 
  System.out.println(""Zero""); 
}
```",Zero,Nothing,Compilation Error,Runtime Exception,,C,Cannot use int as boolean,2025-06-20 19:33:38
203,Working with Java Data Types,Variable Casting and Conversions,"What will it print? 
```java
byte b = 127; 
b++; 
System.out.println(b);
```",127,128,-128,Compilation Error,,C,Overflow of byte wraps around to -128,2025-06-20 19:33:38
204,Working with Selected Classes from Java API,String Class,"What will it print?
```java
System.out.println(10 + 20 + ""30"");
```",30,1030,3030,3030.0,,C,10+20=30 then string concat = 3030,2025-06-20 19:33:38
205,Working with Selected Classes from Java API,String Class,"What will it print?
```java
String a = ""Hello""; 
String b = ""Hel"" + ""lo""; 
System.out.println(a == b);
```",true,false,Compilation Error,Runtime Exception,,A,Compile-time string concatenation is interned,2025-06-20 19:33:38
206,Working with Selected Classes from Java API,String Class,"What will it print?
```java
String str = ""Java""; 
System.out.println(str.charAt(2));
```",v,a,J,Compilation Error,,A,char at index 2 is 'v',2025-06-20 19:33:38
